PRATO;PRECO
Almôndega caseira;9.7
Arroz de forno;7.5
Bife de alcatra;13.5
Bolo de carne vegano;11.3
Brócolis refogado com cenoura;4.5
Costelinha de porco na panela de pressão;15.7
Espaguetini integral ao alho e óleo;12.3
Estrogonofe de berinjela;8.7
Farofa crocante;3.5
Fejoada;17.3
Filé de frango com molho de mostarda;12.5
Frango xadrez;11.3
Peixe ensopado;18.4
Rocambole de carne moída;9.3
Picadinho de carne;16.5
Salada verde com molho de mostarda;4.5
Suflê de Chuchu;3.3
Tutu de feijão;6.7
